pid,date,text
4563609392,Jul 11,R from Leslie Pools here 
4563607002,Jul 11,airport hottie
4563545239,Jul 11,Early Morning Release.. Very Cheap Roses Wanted  - w4m
4563513765,Jul 11,"The Bounty Hunter, i think your name was Glen.. - w4m"
4555467129,Jul 11,Brittany..Wantage Quick Check - m4w
4552946229,Jul 11,"Anyone know ""R"" from Leslie Pools in Paramus? - m4m"
4563248116,Jul 11,lyn232... - m4w
4532740277,Jul 10,busty girl on oakland terrace in tight outfit - m4w
4563136620,Jul 10,Shop Rite (Thur 10th) - m4m
4555290303,Jul 10,Sexy single mom at church - m4w
4549292167,Jul 10,cute blonde at NJ transit bus stop - Congress and Palissade - m4w
4558689793,Jul 10,Helen - m4w
4563066055,Jul 10,The Universe the Gods and Men - m4w
4563028053,Jul 10,Holly berry - m4w
4563005323,Jul 10,Indian Doc - m4w
4562621547,Jul 10,"Houston to Newark, we had an empty seat between us  - m4m"
4562569932,Jul 10,guy in mechanic shop - m4m
4541957137,Jul 10,CKO  KickBoxing - m4m
4562440276,Jul 10,Greek to me long branch shirt
4562437429,Jul 10,Tattooed Nj Transit Conductor - w4m
4562345857,Jul 10,picnic at alpine river pavillion - m4m
4562340205,Jul 10,Valley Hospital --early this week - m4w
4539417532,Jul 10,Did we ever meet? - m4w
4562255843,Jul 10,Sephora - m4w
4562230663,Jul 10,G you are devastatingly beautiful  - m4w
4562182991,Jul 10,Looking for Sara - m4w
4521962889,Jul 10,CD IN LYNDHURST 6-15-14 - m4t
4562101069,Jul 10,Mack Cali Woodcliff Lake/Montvale - m4w
4548342926,Jul 10,forget you..... - m4w
4562013146,Jul 10,harry
4561993042,Jul 10,You asked about my dog(s) - m4m
4561840265,Jul 10,Cassandra Showed An Apartment In WNY - m4w
4561740388,Jul 10,From Harry to Donna - m4w
4561608146,Jul 10,"""Sunshine"" at Men's Wearhouse - m4m"
4555327054,Jul  9,From Brazil to Hoboken - Independence day - m4w
4561473926,Jul  9,V-Ball Coach - m4w
4561443193,Jul  9,Jessica ;) - w4w
4561352510,Jul  9,Young guy in mahwah (broken arm?) - m4m
4561334883,Jul  9,any guys at the bear pool party on Saturday - m4m
4547049678,Jul  9,Brighton in riverside mall - m4w
4561223108,Jul  9,Nick the plumber - m4m
4561205108,Jul  9,Blonde Cutie in the green Yaris - m4w
4547583256,Jul  9,Dude at Rt17 Leslie Pools - m4m
4560930360,Jul  9,latino in focus group - m4m
4554029433,Jul  9,"Anyone know ""R"" from Leslie pools Rt 17 S? - m4m"
4549348365,Jul  9,Scruff beard with great body at CANDO - m4m
4560735143,Jul  9,shugar daddies wanted - m4m
4560727959,Jul  9,you were my waitress in fairlawn today - m4w
4556881320,Jul  9,Eva or Ava .... saw you at your office - m4w
4560476398,Jul  9,Looking for Bobbie Citro - m4w
4549351335,Jul  9,Stop and Shop Muscle guy around noon yesterday - m4m
4560459036,Jul  9,LOOKING FOR STEVE SICCARDI - w4m
4560286501,Jul  9,"Edward, Ironbound Express - m4m"
4560245883,Jul  9,excited
4549349798,Jul  9,Sexy guy with great hair this morning on the parkway - m4m
4560201518,Jul  9,Bianca - m4w
4560204785,Jul  9,Tan Shorts - m4w
4544582501,Jul  9,Awesome Day lets ejoy it ( I have an Idea) - m4w
4544891507,Jul  9,Linda From Cedar Grove & Platinum Fitness - m4w
4560013702,Jul  9,hows your neck  - m4m
4511405107,Jul  8,Girl in Target in Riverdale - m4w
4537664290,Jul  8,Stop n Shop -  awesome tattooed legs - m4w
4559653380,Jul  8,"""Pool Party"" - m4w"
4559626738,Jul  8,Paramus Park Kiosk - m4w
4559621160,Jul  8,Medieval Times Wench - m4w
4559522080,Jul  8,bluebird - m4w
4559516703,Jul  8,NB Store - m4m
4559313791,Jul  8,Huricanne Sandy - Newark Airport - m4m
4559310928,Jul  8,Wheres Katlin - m4w
4545100487,Jul  8,Black Jack Mulligans in Garfield  - m4w
4559261513,Jul  8,you waved as you drove past - m4m
4559185500,Jul  8,Muscle guy at Affinity  Fitness last night - m4m
4559108985,Jul  8,RE:: Monday at Terminal C - w4m
4559094767,Jul  8,Dominican guy on Van Horne St - m4m
4559088981,Jul  8,hoping - w4m
4559070613,Jul  8,Wheres Katlin - m4w
4550516074,Jul  8,Monday at Terminal C - m4w
4547615615,Jul  8,Newton wal mart. Sunday - m4w
4558930477,Jul  8,Sussex court today - m4w
4558905633,Jul  8,dress and glasses at Pier 115 - m4w
4539479654,Jul  8,looking for Kimberly Henry - m4w
4558520429,Jul  8,Desparately seeking TWIGGY - m4w
4558479674,Jul  8,Swim Meet:  Morris Plains - m4w
4558449862,Jul  8,Accord Hybrid - m4w
4558352226,Jul  8,Connection. . .. . .. . .. - m4w
4558291007,Jul  8,Re: You know you want to - m4w
4558278613,Jul  8,Newark Airport Sunday UA International Concourse Asian - m4m
4548419494,Jul  8,Helen  - m4w
4558175699,Jul  8,rt 80 / 23 black Nissan fun quick ride   - m4w
4558118941,Jul  8,We talked by the ukulele... - w4m
4558034350,Jul  8,Boricua lady at liberty park on july 4th - m4w
4557690527,Jul  7,Missing a possible car friend - mm4ww
4557643994,Jul  7,Woman on bus with glasses - m4w
4557619127,Jul  7,Running near Lake Valley Road - m4w
4557608181,Jul  7,You came To meet me in your moms minivan in lyndhurst...... - m4w
4557550402,Jul  7,crunch - m4w
4557499668,Jul  7,Guy at whole foods - m4m
4557245729,Jul  7,I saw you at Palisades Park Library today - m4w
4556896109,Jul  7,Trying again  - w4w
4556781671,Jul  7,Tracy - m4w
4556766668,Jul  7,Whole Foods Bergen Town Center - w4m
4556744001,Jul  7,hoping - w4m
4556455357,Jul  7,Dead Dog  - m4m
4556391785,Jul  7,re:  Did we ever meet?
4523234452,Jul  7,Pizza Delivery Blonde Babe - m4w
4556295974,Jul  7,Kansas City Airport Hotel - m4m
4556269345,Jul  7,You gave me your # at NYSC Livingston  - m4m
4555999160,Jul  6,MCF - m4w
4555969306,Jul  6,Indian Goddess at Trader Joes - m4w
